PROJECT LINE COUNT REPORT
Generated: 2025-07-02 14:32:38
Project Path: dewetra2-frontend/
Total Files Analyzed: 414

SUMMARY BY LANGUAGE:
CSS: 34 files | 61672 lines
HTML: 113 files | 22653 lines
JSON: 6 files | 42079 lines
Markdown: 2 files | 41 lines
JavaScript: 259 files | 121198 lines

DETAILED FILE LIST:
Path | Total | Code | Blank | Comments | Language
dewetra2-frontend/portal-dewetra2/js/components/floodWaveView2/floodWave2ChartComponent.js | 184 | 115 | 36 | 33 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/floodWaveView2/floodWave2Component.js | 710 | 474 | 127 | 109 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/floodWaveView2/floodWaveService.js | 108 | 76 | 19 | 13 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/impact-component/impactComponent.html | 150 | 115 | 35 | 0 | HTML
dewetra2-frontend/portal-dewetra2/js/components/impact-component/impactComponent.js | 727 | 421 | 211 | 95 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-chienti/chartChientiComponent.js | 461 | 315 | 67 | 79 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-chienti/laminazioneChientiComponent.js | 466 | 300 | 127 | 39 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-chienti/laminazioneChientiController.js | 488 | 282 | 156 | 50 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-chienti/laminazioneChientiInputGeneric.js | 89 | 55 | 28 | 6 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-chienti/laminazioneChientiManovreComponent.js | 328 | 230 | 82 | 16 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-chienti/laminazioneChientiService.js | 415 | 278 | 101 | 36 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-chienti/laminazioneModalView.html | 63 | 49 | 11 | 3 | HTML
dewetra2-frontend/portal-dewetra2/js/components/laminazione-chienti/laminazioneResultGeneric.js | 52 | 38 | 14 | 0 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-chienti/laminazioneRunComponent.js | 93 | 57 | 33 | 3 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-chienti/laminazioneSummaryComponent.js | 88 | 49 | 27 | 12 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-generic/chartComponent.js | 446 | 301 | 67 | 78 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-generic/laminazioneComponent.js | 582 | 333 | 160 | 89 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-generic/laminazioneGenericController.js | 488 | 282 | 156 | 50 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-generic/laminazioneGenericService.js | 437 | 301 | 109 | 27 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-generic/laminazioneLoader.js | 395 | 349 | 34 | 12 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione-generic/laminazioneModalView.html | 63 | 49 | 11 | 3 | HTML
dewetra2-frontend/portal-dewetra2/js/components/laminazione-generic/step/inputManovre.html | 135 | 106 | 24 | 5 | HTML
dewetra2-frontend/portal-dewetra2/js/components/laminazione-generic/step/riepilogo.html | 70 | 60 | 10 | 0 | HTML
dewetra2-frontend/portal-dewetra2/js/components/laminazione-generic/step/run.html | 51 | 34 | 17 | 0 | HTML
dewetra2-frontend/portal-dewetra2/js/components/laminazione/laminazioneController.js | 550 | 296 | 164 | 90 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione/laminazioneLoader.js | 55 | 40 | 15 | 0 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione/laminazioneModalView.html | 63 | 49 | 11 | 3 | HTML
dewetra2-frontend/portal-dewetra2/js/components/laminazione/laminazioneService.js | 430 | 286 | 107 | 37 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/laminazione/step/inputManovre.html | 126 | 98 | 21 | 7 | HTML
dewetra2-frontend/portal-dewetra2/js/components/laminazione/step/riepilogo.html | 88 | 76 | 10 | 2 | HTML
dewetra2-frontend/portal-dewetra2/js/components/laminazione/step/run.html | 87 | 67 | 18 | 2 | HTML
dewetra2-frontend/portal-dewetra2/js/components/layer-properties-dynamic/layer-propertiesComponent.html | 134 | 90 | 22 | 22 | HTML
dewetra2-frontend/portal-dewetra2/js/components/layer-properties-dynamic/layer-propertiesComponent.js | 264 | 180 | 70 | 14 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/layer-properties-movie/layer-propertiesComponent.html | 113 | 72 | 19 | 22 | HTML
dewetra2-frontend/portal-dewetra2/js/components/layer-properties-movie/layer-propertiesComponent.js | 241 | 150 | 77 | 14 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/layer-properties/layer-propertiesComponent.html | 136 | 80 | 36 | 20 | HTML
dewetra2-frontend/portal-dewetra2/js/components/layer-properties/layer-propertiesComponent.js | 105 | 43 | 25 | 37 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/layer-tree/layerTreeComponent.js | 84 | 50 | 28 | 6 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/properties/punctualSeriePropertyComponent.js | 90 | 64 | 22 | 4 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/properties/punctualSeriePropertyManagerComponent.js | 104 | 71 | 29 | 4 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/punctual-serie-area-drawer/---areaSerieAreaDrawerComponent.html | 106 | 81 | 21 | 4 | HTML
dewetra2-frontend/portal-dewetra2/js/components/punctual-serie-area-drawer/areaSerieAreaDrawerComponent.js | 196 | 99 | 46 | 51 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/punctual-serie-area-drawer/areaSerieChartManagerComponent.js | 171 | 108 | 61 | 2 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/punctual-serie-chart-manager/punctualSerieChartComponent.html | 63 | 36 | 25 | 2 | HTML
dewetra2-frontend/portal-dewetra2/js/components/punctual-serie-chart-manager/punctualSerieChartComponent.js | 174 | 120 | 50 | 4 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/punctual-serie-chart/punctualSerieChartComponent.js | 539 | 336 | 117 | 86 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/punctual-serie-input-box/punctualSerieInputBoxComponent.html | 106 | 81 | 21 | 4 | HTML
dewetra2-frontend/portal-dewetra2/js/components/punctual-serie-input-box/punctualSerieInputBoxComponent.js | 257 | 161 | 83 | 13 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/punctual-serie/punctualSerieComponent.html | 60 | 30 | 29 | 1 | HTML
dewetra2-frontend/portal-dewetra2/js/components/punctual-serie/punctualSerieComponent.js | 156 | 101 | 49 | 6 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/risicoPopUp/risicoPopUp.js | 105 | 71 | 29 | 5 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/scenari/scenari.js | 117 | 76 | 36 | 5 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/share/shareComponent.js | 62 | 44 | 16 | 2 | JavaScript
dewetra2-frontend/portal-dewetra2/js/components/thresholds-editor/thresholdsEditor.html | 92 | 61 | 15 | 16 | HTML
dewetra2-frontend/portal-dewetra2/js/components/thresholds-editor/thresholdsEditor.js | 457 | 265 | 129 | 63 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/AutporChartController.js | 238 | 142 | 82 | 14 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/DewetraController.js | 801 | 438 | 184 | 179 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/DialogController.js | 147 | 86 | 40 | 21 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/EventChooserController.js | 255 | 173 | 65 | 17 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/FloodWaveChartController.js | 512 | 277 | 132 | 103 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/GeocradleSoilAnalysisChartController.js | 213 | 114 | 80 | 19 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/HydrogramChartController.js | 856 | 592 | 211 | 53 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/LayerChooserController.js | 416 | 277 | 120 | 19 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/LayerListController.js | 670 | 488 | 136 | 46 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/LayerPropertiesController.js | 422 | 250 | 115 | 57 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/LayerPropertiesControllerSeawetra.js | 446 | 269 | 120 | 57 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/LiveIndicatorController.js | 167 | 105 | 51 | 11 | JavaScript
dewetra2-frontend/portal-dewetra2/js/controllers/MagicSearchController.js | 107 | 70 | 26 | 11 | JavaScript
